Second,Price
0,59794.45
1,59787.31
2,59782.3
3,59777.01
4,59781.73
5,59777.02
6,59777.01
7,59777.14
8,59778.28
9,59777.93
10,59781.73
11,59792.35
12,59792.34
13,59795.25
14,59795.34
15,59808.36
16,59812.05
17,59807.3
18,59795.34
19,59794.76
20,59793.62
21,59792.35
22,59790.98
23,59785.07
24,59790.97
25,59797.77
26,59800.0
27,59797.77
28,59797.77
29,59797.77
30,59807.29
31,59813.19
32,59804.9
33,59804.9
34,59790.99
35,59785.09
36,59787.35
37,59791.16
38,59791.0
39,59797.77
40,59797.76
41,59807.76
42,59810.81
43,59805.94
44,59798.16
45,59797.79
46,59782.84
47,59796.03
48,59785.78
49,59798.16
50,59798.16
51,59798.16
52,59803.93
53,59805.94
54,59803.87
55,59805.94
56,59805.93
57,59805.94
58,59805.91
59,59805.95
60,59805.94
61,59799.86
62,59799.03
63,59799.03
64,59798.16
65,59799.99
66,59805.0
67,59800.93
68,59790.32
69,59786.49
70,59786.48
71,59789.99
72,59782.3
73,59785.46
74,59783.21
75,59786.48
76,59785.45
77,59782.48
78,59782.47
79,59782.48
80,59796.13
81,59805.34
82,59817.56
83,59817.55
84,59817.55
85,59810.55
86,59814.59
87,59817.75
88,59824.2
89,59824.2
90,59815.66
91,59815.67
92,59821.91
93,59820.58
94,59824.99
95,59824.99
96,59790.94
97,59787.78
98,59789.57
99,59797.62
100,59802.36
101,59800.61
102,59800.33
103,59800.33
104,59800.6
105,59801.46
106,59800.6
107,59794.61
108,59793.1
109,59794.79
110,59793.99
111,59793.1
112,59787.79
113,59792.97
114,59809.52
115,59807.92
116,59817.87
117,59810.06
118,59822.9
119,59807.93
120,59800.42
121,59800.43
122,59801.99
123,59801.99
124,59802.52
125,59806.63
126,59811.83
127,59800.73
128,59800.43
129,59792.98
130,59792.99
131,59792.99
132,59787.82
133,59787.79
134,59788.32
135,59788.32
136,59787.79
137,59789.67
138,59787.78
139,59787.79
140,59787.79
141,59792.97
142,59800.41
143,59817.55
144,59817.56
145,59817.56
146,59820.0
147,59822.91
148,59824.7
149,59834.63
150,59820.57
151,59824.99
152,59809.66
153,59814.31
154,59814.31
155,59814.31
156,59811.05
157,59811.06
158,59803.06
159,59800.41
160,59798.32
161,59804.0
162,59811.05
163,59800.43
164,59804.01
165,59807.4
166,59805.27
167,59806.3
168,59816.1
169,59809.86
170,59811.14
171,59805.11
172,59805.11
173,59805.1
174,59805.1
175,59805.09
176,59805.07
177,59803.38
178,59800.01
179,59792.15
180,59790.01
181,59790.0
182,59795.36
183,59795.7
184,59795.69
185,59790.2
186,59790.21
187,59790.02
188,59790.02
189,59790.02
190,59809.85
191,59819.99
192,59824.99
193,59819.54
194,59819.55
195,59821.05
196,59817.31
197,59817.31
198,59818.31
199,59818.3
200,59818.31
201,59817.31
202,59817.31
203,59815.35
204,59811.7
205,59817.3
206,59805.09
207,59804.19
208,59794.41
209,59795.69
210,59787.8
211,59789.26
212,59789.26
213,59792.24
214,59792.24
215,59792.83
216,59794.42
217,59796.09
218,59806.95
219,59806.95
220,59806.94
221,59796.25
222,59794.41
223,59794.4
224,59797.41
225,59807.07
226,59811.25
227,59801.14
228,59801.13
229,59801.14
230,59795.74
231,59801.77
232,59801.15
233,59801.14
234,59806.37
235,59815.93
236,59811.58
237,59801.59
238,59801.59
239,59802.52
240,59802.52
241,59801.59
242,59802.59
243,59802.58
244,59804.18
245,59806.74
246,59806.74
247,59806.94
248,59805.95
249,59813.61
250,59807.94
251,59807.37
252,59807.37
253,59804.94
254,59805.41
255,59811.05
256,59819.99
257,59824.69
258,59824.69
259,59839.99
260,59843.24
261,59847.99
262,59842.76
263,59842.76
264,59842.76
265,59847.99
266,59845.81
267,59840.63
268,59840.63
269,59840.6
270,59834.18
271,59840.61
272,59840.61
273,59840.61
274,59835.58
275,59840.59
276,59847.99
277,59847.86
278,59845.4
279,59847.99
280,59842.13
281,59842.13
282,59845.41
283,59840.61
284,59847.98
285,59841.62
286,59847.08
287,59854.33
288,59854.33
289,59856.45
290,59856.84
291,59865.09
292,59854.33
293,59852.19
294,59864.43
295,59864.44
296,59864.43
297,59855.17
298,59859.69
299,59859.69
